"Data Export Generated on Wed Mar 26 05:52:26 PDT 2025"
"Survey ID 12838980"
"Dashboard Name My Dashboard"
"Response ID","Response Status","IP Address","Timestamp (mm/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Respondent Email","Email List","Country Code","Region","Country","Longitude","Latitude","Radius","Browser","Device","Operating System","Language","Block Order","Question Order","1 - Q1","2 - Q2","3 - Q3","4 - Q7","5 - Q13","6 - Q16","7 - Q17","8 - Q4","9 - Q6 - Delivery time ","9 - Q6 - Customer service","9 - Q6 - Variety of options","9 - Q6 - User interface of the app","10 - Q9","11 - Q14","12 - Q8","13 - Q10 - Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","13 - Q10 - China UnionPay","13 - Q10 - Octopus card","13 - Q10 - Bank Transfer (eg.FPS)","13 - Q10 - Tap&Go","14 - Q11 - Higher delivery fee","14 - Q11 - Poor customer support response times performance","14 - Q11 - Lacking promotional offers","14 - Q11 - Slower delivery speed","14 - Q11 - Limited payment options","14 - Q11 - Difficulty tracking orders","15 - Q5 - Better delivery speed","15 - Q5 - More restaurant options","15 - Q5 - Improved app functionality","15 - Q5 - More promotions","15 - Q5 - Better customer service","15 - Q5 - Other (Please specific):","16 - Q12","17 - Q15",""
"163400851","Completed","124.217.188.160","03/22/2025 18:52:39","0","398","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","2","5","1","1","1","3","4","2","4","3","3","No","No","1","","","","","1","","","","1","","","1","1","","","","4","Yes, i would order in the platform that give more favours to me, because the food of restaurant are the same for all delivery platforms, price is the most important determine factor.",""
"163912416","Completed","14.0.155.79","03/24/2025 17:37:16","0","177","1","","","","","","","","","","","","0.0","0.0","0.0","APPLE_WEB_KIT","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","3","2","1","1","4","4","3","4","2","1","Delayed delivery ","With mostly no chance of getting compensated ","","","1","","","1","","","","","","","1","","","","","2","Yes",""
"163975079","Completed","110.235.62.157","03/24/2025 20:33:34","0","229","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","4","1","2","3","4","5","3","4","4","3","Put ","Wrong place","1","","","1","","1","","","","1","","1","1","","1","","","2","Yes",""
"164474899","Completed","158.182.254.194","03/26/2025 10:39:16","0","156","1","","","","","","","","","","","","0.0","0.0","0.0","APPLE_WEB_KIT","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","2","4","2","1","1","4","4","4","4","4","3","No","no ","1","1","1","1","","1","","","1","","","1","","1","","","","3","keeta",""
"164474983","Completed","158.182.255.146","03/26/2025 10:40:51","0","138","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","21","1","4","1","1","1","4","4","4","5","3","4","no","no","","","1","1","","1","","","","","","1","1","","1","","","4","",""
"164475100","Completed","14.0.236.134","03/26/2025 10:42:44","0","208","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","21","1","3","2","1","1","3","4","3","5","3","2","Wrong order","No","1","","","","","","","","1","","","1","1","1","","","","2","No",""
"164475113","Completed","158.182.255.80","03/26/2025 10:42:58","0","282","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","1","2","1","1","1","4","5","3","4","2","2","No","No. ","","","1","","","","","1","","1","","","","1","","1","","3","Yes",""
"164475132","Completed","158.182.255.82","03/26/2025 10:43:09","0","280","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","2","5","1","1","3","1","1","2","2","2","5","No","No","1","1","1","1","1","","","","","","1","","","","","","Make it free","5","If one of them is free",""
"164475484","Completed","158.182.254.33","03/26/2025 10:49:22","0","75","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","3","3","2","1","4","3","4","4","4","4","no","no","","1","1","1","","","1","1","","1","","","1","1","1","","","1","",""
"164475640","Completed","158.182.255.74","03/26/2025 10:51:30","0","228","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","4","2","2","1","4","5","3","3","3","2","Send to a wrong place","No","1","","","","","1","","","","1","","1","","","","","","3","Yes, because they have more discount",""
"164477600","Completed","182.239.85.193","03/26/2025 11:28:16","0","7083","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","19","1","4","2","1","3","4","4","4","4","4","3","No","Haven’t experienced before","","","1","1","","1","","1","","","","","1","","1","1","","3","Yes",""
"164478406","Completed","158.182.255.234","03/26/2025 11:47:47","0","168","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","2","5","1","1","1","3","3","4","5","3","1","N/A","N/A","1","","","","","1","","","","","","","","","","","more discount ","3","Yes",""
"164497340","Completed","158.182.254.33","03/26/2025 13:57:56","0","70","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","19","1","3","2","2","2","5","4","4","4","3","3","no","no","","","1","1","1","","","1","","1","","","1","","1","","","2","",""
"164498175","Completed","158.182.254.33","03/26/2025 14:00:37","0","67","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","19","1","3","3","2","2","5","4","4","3","4","3","no","no","","","1","1","","","","1","","1","","","1","1","1","","","2","",""
"164507849","Completed","203.145.95.113","03/26/2025 14:27:23","0","186","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","2","5","1","1","1","3","5","5","5","5","5","No","No","1","","1","1","","1","1","1","","","","","","1","1","1","","3","",""
"164511551","Completed","2a09:bac2:3919:263c::3cf:4c","03/26/2025 14:35:02","0","227","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","21","1","4","2","1","1","4","4","5","1","1","1","no","cannot use the promotion codes, then cs ask me to order without coupons","","","1","","","1","","1","1","","","1","","","","1","","5","yes",""
"164515594","Completed","14.0.173.224","03/26/2025 14:46:37","0","95","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","21","1","2","2","1","2","4","4","3","4","3","2","Ys, the deliver delayed 6h","No","","1","","","","","","","1","","","","","","1","","","4","Ys keeta will be chosen ",""
"164521605","Completed","45.64.241.201","03/26/2025 15:04:41","0","230","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","21","1","2","1","1","3","3","5","5","3","3","4","No","No","1","","","1","","1","1","1","","","","","","1","1","1","","3","Yes. Can save the money ",""
"164529118","Completed","1.65.166.140","03/26/2025 15:28:31","0","175","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","24","1","4","1","1","1","4","4","4","4","3","3","no","no","1","","1","1","","","","","1","1","1","1","1","","","1","","2","no",""
"164535670","Completed","158.182.254.190","03/26/2025 15:49:53","0","80","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","37","1","5","1","2","2","3","5","5","4","3","3","No","No","","","","1","","","","","1","","1","","","1","","1","","3","No",""
"164540052","Completed","183.178.0.130","03/26/2025 16:04:35","0","500","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","2","2","1","1","4","5","3","4","4","2","No","No","1","","","","","1","","","","","","1","1","1","","","","3","Ys",""
"164544728","Completed","124.244.165.85","03/26/2025 16:19:46","0","282","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","4","2","1","1","5","5","4","3","3","2","No","No","1","","","","","1","","","","","","","","","1","","","3","Yes",""
"164556265","Completed","14.0.180.228","03/26/2025 16:58:43","0","121","1","","","","","","","","","","","","0.0","0.0","0.0","APPLE_WEB_KIT","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","1","4","2","1","1","3","3","3","3","3","3","Wrong food","No","1","","","","","1","","","","","","1","","","","1","","3","Yes",""
"164577028","Completed","2a09:bac2:3919:323::50:11a","03/26/2025 18:09:53","0","95","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","26","1","4","2","2","3","3","2","3","4","4","3","missing item","no need to communicate with the customer","1","","1","","","","","","1","","","","","","1","","","3","",""
"164584092","Completed","14.198.160.207","03/26/2025 18:34:19","0","0","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","2","2","2","2","5","5","5","5","4","4","no","no","1","","1","1","","","","1","","1","1","1","1","","1","","","2","",""
"164584444","Completed","14.198.160.207","03/26/2025 18:35:36","0","74","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","3","3","4","2","4","4","4","4","4","3","no","no","1","","","1","1","","","1","","1","","","","","1","","","3","",""
"164584870","Completed","14.198.160.207","03/26/2025 18:37:10","0","93","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","19","1","1","2","4","2","4","4","5","4","5","4","no","no","1","","","1","","","","1","1","1","","1","","","1","","","1","",""
"164585259","Completed","14.198.160.207","03/26/2025 18:38:38","0","75","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","1","3","3","2","1","3","4","4","5","5","3","wrong order","no","","1","","1","1","","","1","","1","","","","1","1","1","","2","",""
"164585610","Completed","14.198.160.207","03/26/2025 18:39:57","0","77","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","2","3","3","2","5","4","5","3","5","4","no","no","1","","","1","1","","","1","1","1","","1","1","","1","","","1","",""
"164586933","Completed","14.198.160.207","03/26/2025 18:44:50","0","93","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","3","3","1","1","4","3","5","5","5","3","no ","no","1","","1","1","","","","1","","1","","","","","1","","","1","",""
"164598950","Completed","14.198.160.207","03/26/2025 19:30:39","0","2272","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","1","3","2","3","2","4","4","5","5","5","4","no","no","","","","1","1","1","","","","1","","","","","1","1","","1","",""
"164599075","Completed","14.198.160.207","03/26/2025 19:33:24","0","81","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","2","2","3","2","5","4","5","3","5","2","no","no need","1","","1","1","","","","1","","1","","","","1","1","","","1","",""
"164599822","Completed","14.198.160.207","03/26/2025 19:49:13","0","84","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","1","2","4","4","3","5","3","2","4","5","4","no","no","","","1","1","1","","","1","","1","","","","","1","","","1","",""
"164599890","Completed","14.198.160.207","03/26/2025 19:50:30","0","75","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","2","4","4","2","5","5","5","4","3","2","wrong order","no need","","1","","1","1","1","","1","","1","","1","1","","1","","","2","",""
"164599974","Completed","14.198.160.207","03/26/2025 19:51:55","0","74","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","1","2","2","1","3","3","3","3","4","4","3","no","no ","","","1","1","1","","1","","1","1","","1","","1","","1","","3","",""
"164600569","Completed","182.239.89.178","03/26/2025 19:56:58","0","565","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","2","5","1","1","3","3","1","1","1","1","5","no","no","","","1","","","1","","","","","","","","","","","nuh man, improve this form pls, i have never used foodpanda or other food oder app before. Very confusing when answering the questions💀?","5","no","
"164600789","Completed","14.198.160.207","03/26/2025 19:58:32","0","58","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","20","1","3","4","3","1","4","3","4","4","5","3","no","no need","","","","1","1","","","1","","1","1","","","","1","","","2","",""
