Data Export Generated on Wed Mar 26 23:08:01 PDT 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12877482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,What is your gender?,What is your age?,What is your monthly income (HKD)?,Which food and product delivery platform do you use most?,How much do you spend when ordering through Foodpanda?,How often do you use Foodpanda app for food delivery?,Which do you prefer ordering more frequently?,Speed of delivery,Choice of food variety,Food quality,Customer service,What is the most important when you consider a order from Foodpanda?,How did you first learn about Foodpanda?,How often do you take advantage of promotions or discounts offered by Foodpanda? ,How would you rate the overall pricing of Foodpanda?,Which payment option you would like to see added?,What is the biggest disadvantage you have experienced with Foodpanda?,What is the most significant improvement would you like the see in Foodpanda?,Would you consider switching to a competitor (Keeta) if they offered better discounts?,How satisfied are you with the overall experience of using the Foodpanda app?,Would you consider using Foodpanda more frequently in the future?,How likely are you to recommend Foodpanda to friends or family?
164771110,Completed,113.255.141.230,3/27/2025 10:30,0,57,1,,,,,,,,,,,2,2,1,1,1,2,1,3,3,3,3,2,2,4,2,2,3,2,1,3,1,3
164771780,Completed,158.182.254.42,3/27/2025 10:40,0,131,1,,,,,,,,,,,1,2,1,2,1,1,1,4,4,4,4,1,1,3,3,4,2,3,1,4,1,3
164771791,Completed,158.182.255.196,3/27/2025 10:40,0,137,1,,,,,,,,,,,1,3,2,1,1,5,1,3,3,2,3,2,2,3,2,2,1,2,1,3,2,1
164771920,Completed,158.182.254.80,3/27/2025 10:42,0,68,1,,,,,,,,,,,2,2,2,1,1,2,1,4,4,5,4,2,3,3,5,1,4,4,1,4,1,4
164772038,Completed,158.182.254.80,3/27/2025 10:44,0,69,1,,,,,,,,,,,1,2,3,1,4,1,1,3,4,5,3,1,1,4,3,2,3,3,1,4,1,3
164772045,Completed,14.0.157.237,3/27/2025 10:44,0,153,1,,,,,,,,,,,2,2,1,2,1,4,1,4,2,4,3,2,2,5,4,5,3,3,1,2,2,2
164772159,Completed,158.182.254.80,3/27/2025 10:46,0,70,1,,,,,,,,,,,1,3,3,2,2,3,1,4,4,4,4,4,3,1,3,3,1,1,1,5,1,5
164772900,Completed,14.0.180.73,3/27/2025 10:56,0,97,1,,,,,,,,,,,2,2,2,1,2,2,1,4,4,5,4,3,3,2,3,2,2,2,2,3,1,3
164772963,Completed,158.182.255.128,3/27/2025 10:58,0,178,1,,,,,,,,,,,2,2,1,2,2,4,1,3,3,3,3,2,1,4,4,5,3,3,1,3,2,2
164774271,Completed,158.182.255.67,3/27/2025 11:21,0,111,1,,,,,,,,,,,2,2,1,2,2,4,1,5,4,4,4,1,1,4,4,2,3,3,1,3,2,3
164775061,Completed,158.182.254.80,3/27/2025 11:39,0,62,1,,,,,,,,,,,1,2,2,1,3,4,1,4,4,4,4,3,2,2,2,4,4,4,2,4,1,4
164776537,Completed,158.182.254.80,3/27/2025 12:11,0,53,1,,,,,,,,,,,2,2,2,1,3,3,2,4,4,5,5,2,2,3,2,5,3,3,2,3,1,5
164776577,Completed,158.182.254.80,3/27/2025 12:12,0,83,1,,,,,,,,,,,1,2,1,2,4,2,1,3,3,3,3,2,2,2,4,3,1,1,2,3,1,4
164776881,Completed,158.182.254.80,3/27/2025 12:20,0,146,1,,,,,,,,,,,1,2,2,1,1,3,1,4,3,5,5,1,2,4,3,1,3,3,1,4,1,4
164777166,Completed,158.182.255.230,3/27/2025 12:28,0,61,1,,,,,,,,,,,1,3,3,1,2,3,1,4,4,4,4,1,1,3,1,3,2,2,1,3,1,3
164777235,Completed,182.239.87.235,3/27/2025 12:29,0,261,1,,,,,,,,,,,1,2,1,1,2,3,1,3,3,3,3,3,1,2,3,4,2,3,1,3,2,2
164777496,Completed,14.0.236.6,3/27/2025 12:35,0,93,1,,,,,,,,,,,1,2,1,2,2,4,1,5,4,4,5,2,1,4,3,2,2,2,2,2,1,3
164786858,Completed,168.70.115.9,3/27/2025 13:56,0,234,1,,,,,,,,,,,1,2,1,1,1,4,2,5,4,5,4,1,1,3,3,2,3,1,1,3,1,3
