"Data Export Generated on Wed Mar 26 05:18:03 PDT 2025"
"Survey ID 12838980"
"Dashboard Name My Dashboard"
"Response ID","Response Status","IP Address","Timestamp (mm/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Respondent Email","Email List","Country Code","Region","1. What is your gender?","2. What is your age?","3. Have you use Foodpanda before?","4. How often do you order from Foodpanda monthly? ","5. How much would you spend per meal order? (include delivery fee)","6.  How much do you spend on groceries (eg. Household supplies) per month using FoodPanda?","7. Which do you prefer ordering more frequently?","8. How would you rate the quality of the food delivered?","Delivery time ","Customer service","Variety of options","User interface of the app","10. How often do you take advantage of promotions or discounts offered by Foodpanda? ","11. Have you ever experienced issues with order accuracy? (eg. Wrong order) If so please describe:","12. Have you ever needed to contact customer support? If yes how was your experience? (please give 5-15 words)","13. Are there any payment options you would like to see added?","","","","","14. Which disadvantage do you think Foodpanda has when comparing to Keeta (competitor) ? (At most 3 options)","","","","","","15. What improvements would you like to see in Foodpanda? (At most 3 options)","","","","","","16. How likely are you to recommend Foodpanda to friends or family?","17. Would you consider switching to a competitor (e.g. Keeta Uber Eats) if they offered better discounts?(open-end question)",""
"163814859","Completed","158.182.255.21","03/24/2025 09:01:06","0","105","1","","","","","","","","","","","Female","20","No","Never ","Under $100 ","Less than $1000","Both equally","Neutral","Moderately important ","Moderately important ","Moderately important ","Moderately important ","Sometimes ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card","",""," Higher delivery fee","","","","","","Better delivery speed","More restaurant options","","More promotions","","","Neutral ","yes",""
"163824791","Completed","158.182.0.121","03/24/2025 12:27:52","0","116","1","","","","","","","","","","","Female","21","No","Never ","Under $100 ","Less than $1000","Meals","Neutral","Moderately important ","Moderately important ","Very important ","Moderately important ","Rarely ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","","Tap&Go "," Higher delivery fee","","","","","Difficulty tracking orders","","","Improved app functionality","More promotions","Better customer service","","Neutral ","",""
"163840093","Completed","14.0.180.109","03/24/2025 14:13:47","0","552","1","","","","","","","","","","","Male","19","Yes","Monthly ","$201-$300 ","Less than $1000","Meals","Neutral","Very important ","Moderately important ","Extreme important ","Moderately important ","Often ","Missed some food and drinks or soup splash out of the containers.","Yes, although they offered me some coupons or discounts, I was still not satisfied and disappointed."," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","",""," Bank Transfer (eg.FPS)",""," Higher delivery fee","","","","","","","","","More promotions","Better customer service","","Neutral ","Of course",""
"163841100","Completed","14.0.158.90","03/24/2025 14:17:22","0","123","1","","","","","","","","","","","Male","19","Yes","Monthly "," $101-$200","Less than $1000","Meals","Satisfied","Very important ","Moderately important ","Very important ","Very important ","Sometimes ","No","No","","","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee","","","","","Difficulty tracking orders","Better delivery speed","","Improved app functionality","More promotions","","","Unlikely ","Yes",""
"163912416","Completed","14.0.155.79","03/24/2025 17:37:16","0","177","1","","","","","","","","","","","Female","20","Yes","Monthly "," $101-$200","Less than $1000","Meals","Satisfied","Very important ","Moderately important ","Very important ","Slightly important","Always","Delayed delivery ","With mostly no chance of getting compensated ","","","Octopus card","",""," Higher delivery fee","","","","","","","More restaurant options","","","","","Likely ","Yes",""
"163975079","Completed","110.235.62.157","03/24/2025 20:33:34","0","229","1","","","","","","","","","","","Female","20","Yes","Rarely ","Under $100 ","$1001 - $2000","Both equally","Satisfied","Extreme important ","Moderately important ","Very important ","Very important ","Sometimes ","Put ","Wrong place"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","",""," Bank Transfer (eg.FPS)",""," Higher delivery fee","","","","Limited payment options ","","Better delivery speed","More restaurant options","","More promotions","","","Likely ","Yes",""
"164474899","Completed","158.182.254.194","03/26/2025 10:39:16","0","156","1","","","","","","","","","","","Male","20","No","Rarely "," $101-$200","Less than $1000","Meals","Satisfied","Very important ","Very important ","Very important ","Very important ","Sometimes ","No","no "," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","China UnionPay ","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee","",""," Slower delivery speed","","","Better delivery speed","","Improved app functionality","","","","Neutral ","keeta",""
"164474983","Completed","158.182.255.146","03/26/2025 10:40:51","0","138","1","","","","","","","","","","","Female","21","Yes","Rarely ","Under $100 ","Less than $1000","Meals","Satisfied","Very important ","Very important ","Extreme important ","Moderately important ","Rarely ","no","no","","","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee","","","","","","Better delivery speed","More restaurant options","","More promotions","","","Unlikely ","",""
"164475100","Completed","14.0.236.134","03/26/2025 10:42:44","0","208","1","","","","","","","","","","","Male","21","Yes","Monthly "," $101-$200","Less than $1000","Meals","Neutral","Very important ","Moderately important ","Extreme important ","Moderately important ","Often ","Wrong order","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","","","","",""," Slower delivery speed","","","Better delivery speed","More restaurant options","Improved app functionality","","","","Likely ","No",""
"164475113","Completed","158.182.255.80","03/26/2025 10:42:58","0","282","1","","","","","","","","","","","Male","20","Yes","Weekly ","Under $100 ","Less than $1000","Meals","Satisfied","Extreme important ","Moderately important ","Very important ","Slightly important","Often ","No","No. ","","","Octopus card","","","",""," Lacking promotional offers","","Limited payment options ","","","","Improved app functionality","","Better customer service","","Neutral ","Yes",""
"164475132","Completed","158.182.255.82","03/26/2025 10:43:09","0","280","1","","","","","","","","","","","Male","19","No","Never ","Under $100 ","Less than $1000","Both equally","Very Unsatisfied","Not at all important ","Slightly important","Slightly important","Slightly important","Never","No","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","China UnionPay ","Octopus card"," Bank Transfer (eg.FPS)","Tap&Go ","","","","","","Difficulty tracking orders","","","","","","Make it free","Very unlikely ","If one of them is free",""
"164475484","Completed","158.182.254.33","03/26/2025 10:49:22","0","75","1","","","","","","","","","","","Male","19","Yes","Monthly ","$201-$300 ","$1001 - $2000","Meals","Satisfied","Moderately important ","Very important ","Very important ","Very important ","Rarely ","no","no","","China UnionPay ","Octopus card"," Bank Transfer (eg.FPS)","",""," Poor customer support response times performance"," Lacking promotional offers","","Limited payment options ","","","More restaurant options","Improved app functionality","More promotions","","","Very likely ","",""
"164475640","Completed","158.182.255.74","03/26/2025 10:51:30","0","228","1","","","","","","","","","","","Female","20","Yes","Rarely "," $101-$200","$1001 - $2000","Meals","Satisfied","Extreme important ","Moderately important ","Moderately important ","Moderately important ","Often ","Send to a wrong place","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee","","","","Limited payment options ","","Better delivery speed","","","","","","Neutral ","Yes, because they have more discount",""
"164477600","Completed","182.239.85.193","03/26/2025 11:28:16","0","7083","1","","","","","","","","","","","Female","19","Yes","Rarely "," $101-$200","Less than $1000","Both equally","Satisfied","Very important ","Very important ","Very important ","Very important ","Sometimes ","No","Haven’t experienced before","","","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee",""," Lacking promotional offers","","","","","More restaurant options","","More promotions","Better customer service","","Neutral ","Yes",""
"164478406","Completed","158.182.255.234","03/26/2025 11:47:47","0","168","1","","","","","","","","","","","Female","20","No","Never ","Under $100 ","Less than $1000","Meals","Neutral","Moderately important ","Very important ","Extreme important ","Moderately important ","Always","N/A","N/A"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee","","","","","","","","","","","more discount ","Neutral ","Yes",""
"164497340","Completed","158.182.254.33","03/26/2025 13:57:56","0","70","1","","","","","","","","","","","Female","19","Yes","Monthly "," $101-$200","$1001 - $2000","Groceries","Very Satisfied","Very important ","Very important ","Very important ","Moderately important ","Sometimes ","no","no","","","Octopus card"," Bank Transfer (eg.FPS)","Tap&Go ","",""," Lacking promotional offers","","Limited payment options ","","","More restaurant options","","More promotions","","","Likely ","",""
"164498175","Completed","158.182.254.33","03/26/2025 14:00:37","0","67","1","","","","","","","","","","","Female","19","Yes","Monthly ","$201-$300 ","$1001 - $2000","Groceries","Very Satisfied","Very important ","Very important ","Moderately important ","Very important ","Sometimes ","no","no","","","Octopus card"," Bank Transfer (eg.FPS)","","",""," Lacking promotional offers","","Limited payment options ","","","More restaurant options","Improved app functionality","More promotions","","","Likely ","",""
"164507849","Completed","203.145.95.113","03/26/2025 14:27:23","0","186","1","","","","","","","","","","","Male","20","No","Never ","Under $100 ","Less than $1000","Meals","Neutral","Extreme important ","Extreme important ","Extreme important ","Extreme important ","Never","No","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee"," Poor customer support response times performance"," Lacking promotional offers","","","","","","Improved app functionality","More promotions","Better customer service","","Neutral ","",""
"164511551","Completed","2a09:bac2:3919:263c::3cf:4c","03/26/2025 14:35:02","0","227","1","","","","","","","","","","","Female","21","Yes","Rarely "," $101-$200","Less than $1000","Meals","Satisfied","Very important ","Extreme important ","Not at all important ","Not at all important ","Always","no","cannot use the promotion codes, then cs ask me to order without coupons","","","Octopus card","",""," Higher delivery fee",""," Lacking promotional offers"," Slower delivery speed","","","Better delivery speed","","","","Better customer service","","Very unlikely ","yes",""
"164515594","Completed","14.0.173.224","03/26/2025 14:46:37","0","95","1","","","","","","","","","","","Female","21","Yes","Weekly "," $101-$200","Less than $1000","Groceries","Satisfied","Very important ","Moderately important ","Very important ","Moderately important ","Often ","Ys, the deliver delayed 6h","No","","China UnionPay ","","","","","",""," Slower delivery speed","","","","","","More promotions","","","Unlikely ","Ys keeta will be chosen ",""
"164521605","Completed","45.64.241.201","03/26/2025 15:04:41","0","230","1","","","","","","","","","","","Male","21","Yes","Weekly ","Under $100 ","Less than $1000","Both equally","Neutral","Extreme important ","Extreme important ","Moderately important ","Moderately important ","Rarely ","No","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","",""," Bank Transfer (eg.FPS)",""," Higher delivery fee"," Poor customer support response times performance"," Lacking promotional offers","","","","","","Improved app functionality","More promotions","Better customer service","","Neutral ","Yes. Can save the money ",""
"164529118","Completed","1.65.166.140","03/26/2025 15:28:31","0","175","1","","","","","","","","","","","Male","24","Yes","Rarely ","Under $100 ","Less than $1000","Meals","Satisfied","Very important ","Very important ","Very important ","Moderately important ","Sometimes ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card"," Bank Transfer (eg.FPS)","","","",""," Slower delivery speed","Limited payment options ","Difficulty tracking orders","Better delivery speed","More restaurant options","","","Better customer service","","Likely ","no",""
"164535670","Completed","158.182.254.190","03/26/2025 15:49:53","0","80","1","","","","","","","","","","","Male","37","Yes","Never ","Under $100 ","$1001 - $2000","Groceries","Neutral","Extreme important ","Extreme important ","Very important ","Moderately important ","Sometimes ","No","No","","",""," Bank Transfer (eg.FPS)","","","",""," Slower delivery speed","","Difficulty tracking orders","","","Improved app functionality","","Better customer service","","Neutral ","No",""
"164540052","Completed","183.178.0.130","03/26/2025 16:04:35","0","500","1","","","","","","","","","","","Female","20","Yes","Weekly "," $101-$200","Less than $1000","Meals","Satisfied","Extreme important ","Moderately important ","Very important ","Very important ","Often ","No","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee","","","","","","Better delivery speed","More restaurant options","Improved app functionality","","","","Neutral ","Ys",""
"164544728","Completed","124.244.165.85","03/26/2025 16:19:46","0","282","1","","","","","","","","","","","Male","19","Yes","Rarely "," $101-$200","Less than $1000","Meals","Very Satisfied","Extreme important ","Very important ","Moderately important ","Moderately important ","Often ","No","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee","","","","","","","","","More promotions","","","Neutral ","Yes",""
"164556265","Completed","14.0.180.228","03/26/2025 16:58:43","0","121","1","","","","","","","","","","","Male","20","Yes","Rarely "," $101-$200","Less than $1000","Meals","Neutral","Moderately important ","Moderately important ","Moderately important ","Moderately important ","Sometimes ","Wrong food","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee","","","","","","Better delivery speed","","","","Better customer service","","Neutral ","Yes",""
"164577028","Completed","2a09:bac2:3919:323::50:11a","03/26/2025 18:09:53","0","95","1","","","","","","","","","","","Male","26","Yes","Rarely "," $101-$200","$1001 - $2000","Both equally","Neutral","Slightly important","Moderately important ","Very important ","Very important ","Sometimes ","missing item","no need to communicate with the customer"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card","","","","",""," Slower delivery speed","","","","","","More promotions","","","Neutral ","",""
"164584092","Completed","14.198.160.207","03/26/2025 18:34:19","0","0","1","","","","","","","","","","","Female","20","Yes","Weekly "," $101-$200","$1001 - $2000","Groceries","Very Satisfied","Extreme important ","Extreme important ","Extreme important ","Very important ","Rarely ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card"," Bank Transfer (eg.FPS)","","",""," Lacking promotional offers","","Limited payment options ","Difficulty tracking orders","Better delivery speed","More restaurant options","","More promotions","","","Likely ","",""
"164584444","Completed","14.198.160.207","03/26/2025 18:35:36","0","74","1","","","","","","","","","","","Male","19","Yes","Monthly ","$201-$300 ","More than $3000","Groceries","Satisfied","Very important ","Very important ","Very important ","Very important ","Sometimes ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","",""," Bank Transfer (eg.FPS)","Tap&Go ","",""," Lacking promotional offers","","Limited payment options ","","","","","More promotions","","","Neutral ","",""
"164584870","Completed","14.198.160.207","03/26/2025 18:37:10","0","93","1","","","","","","","","","","","Female","19","Yes","Daily "," $101-$200","More than $3000","Groceries","Satisfied","Very important ","Extreme important ","Very important ","Extreme important ","Rarely ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","",""," Bank Transfer (eg.FPS)","","",""," Lacking promotional offers"," Slower delivery speed","Limited payment options ","","Better delivery speed","","","More promotions","","","Very likely ","",""
"164585259","Completed","14.198.160.207","03/26/2025 18:38:38","0","75","1","","","","","","","","","","","Male","20","Yes","Monthly ","$201-$300 ","$1001 - $2000","Meals","Neutral","Very important ","Very important ","Extreme important ","Extreme important ","Sometimes ","wrong order","no","","China UnionPay ",""," Bank Transfer (eg.FPS)","Tap&Go ","",""," Lacking promotional offers","","Limited payment options ","","","","Improved app functionality","More promotions","Better customer service","","Likely ","",""
"164585610","Completed","14.198.160.207","03/26/2025 18:39:57","0","77","1","","","","","","","","","","","Female","20","Yes","Weekly ","$201-$300 ","$2001 - $3000","Groceries","Very Satisfied","Very important ","Extreme important ","Moderately important ","Extreme important ","Rarely ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","",""," Bank Transfer (eg.FPS)","Tap&Go ","",""," Lacking promotional offers"," Slower delivery speed","Limited payment options ","","Better delivery speed","More restaurant options","","More promotions","","","Very likely ","",""
"164586933","Completed","14.198.160.207","03/26/2025 18:44:50","0","93","1","","","","","","","","","","","Male","19","Yes","Monthly ","$201-$300 ","Less than $1000","Meals","Satisfied","Moderately important ","Extreme important ","Extreme important ","Extreme important ","Sometimes ","no ","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card"," Bank Transfer (eg.FPS)","","",""," Lacking promotional offers","","Limited payment options ","","","","","More promotions","","","Very likely ","",""
"164598950","Completed","14.198.160.207","03/26/2025 19:30:39","0","2272","1","","","","","","","","","","","Male","20","Yes","Monthly "," $101-$200","$2001 - $3000","Groceries","Satisfied","Very important ","Extreme important ","Extreme important ","Extreme important ","Rarely ","no","no","","",""," Bank Transfer (eg.FPS)","Tap&Go "," Higher delivery fee","","","","Limited payment options ","","","","","More promotions","Better customer service","","Very likely ","",""
"164599075","Completed","14.198.160.207","03/26/2025 19:33:24","0","81","1","","","","","","","","","","","Female","20","Yes","Weekly "," $101-$200","$2001 - $3000","Groceries","Very Satisfied","Very important ","Extreme important ","Moderately important ","Extreme important ","Often ","no","no need"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card"," Bank Transfer (eg.FPS)","","",""," Lacking promotional offers","","Limited payment options ","","","","Improved app functionality","More promotions","","","Very likely ","",""
"164599822","Completed","14.198.160.207","03/26/2025 19:49:13","0","84","1","","","","","","","","","","","Male","20","Yes","Weekly ","Above $300 ","More than $3000","Both equally","Very Satisfied","Moderately important ","Slightly important","Very important ","Extreme important ","Rarely ","no","no","","","Octopus card"," Bank Transfer (eg.FPS)","Tap&Go ","",""," Lacking promotional offers","","Limited payment options ","","","","","More promotions","","","Very likely ","",""
"164599890","Completed","14.198.160.207","03/26/2025 19:50:30","0","75","1","","","","","","","","","","","Female","20","Yes","Weekly ","Above $300 ","More than $3000","Groceries","Very Satisfied","Extreme important ","Extreme important ","Very important ","Moderately important ","Often ","wrong order","no need","","China UnionPay ",""," Bank Transfer (eg.FPS)","Tap&Go "," Higher delivery fee",""," Lacking promotional offers","","Limited payment options ","","Better delivery speed","More restaurant options","","More promotions","","","Likely ","",""
"164599974","Completed","14.198.160.207","03/26/2025 19:51:55","0","74","1","","","","","","","","","","","Male","20","Yes","Weekly "," $101-$200","Less than $1000","Both equally","Neutral","Moderately important ","Moderately important ","Very important ","Very important ","Sometimes ","no","no ","","","Octopus card"," Bank Transfer (eg.FPS)","Tap&Go ",""," Poor customer support response times performance",""," Slower delivery speed","Limited payment options ","","Better delivery speed","","Improved app functionality","","Better customer service","","Neutral ","",""
"164600569","Completed","182.239.89.178","03/26/2025 19:56:58","0","565","1","","","","","","","","","","","Male","20","No","Never ","Under $100 ","Less than $1000","Both equally","Neutral","Not at all important ","Not at all important ","Not at all important ","Not at all important ","Never","no","no","","","Octopus card","",""," Higher delivery fee","","","","","","","","","","","nuh man, improve this form pls, i have never used foodpanda or other food oder app before. Very confusing when answering the questions💀?","Very unlikely ","no","
"164600789","Completed","14.198.160.207","03/26/2025 19:58:32","0","58","1","","","","","","","","","","","Male","20","Yes","Monthly ","Above $300 ","$2001 - $3000","Meals","Satisfied","Moderately important ","Very important ","Very important ","Extreme important ","Sometimes ","no","no need","","",""," Bank Transfer (eg.FPS)","Tap&Go ","",""," Lacking promotional offers","","Limited payment options ","Difficulty tracking orders","","","","More promotions","","","Likely ","",""
"164601013","Completed","14.198.160.207","03/26/2025 20:00:12","0","98","1","","","","","","","","","","","Male","20","Yes","Weekly ","$201-$300 ","Less than $1000","Groceries","Neutral","Moderately important ","Very important ","Very important ","Moderately important ","Always","no","no","","","Octopus card"," Bank Transfer (eg.FPS)","Tap&Go "," Higher delivery fee",""," Lacking promotional offers","","Limited payment options ","","","","","More promotions","","","Very likely ","",""
